Quarter,Barangay,Mayor_Total_Given_PHP,Share_of_LGU_Budget_%,Mayor_IEC_PHP,Mayor_IEC_%,Mayor_Enf_PHP,Mayor_Enf_%,Mayor_Inc_PHP,Mayor_Inc_%,Municipal_Inspectors_Deployed
1,Brgy Liangan East,24851.62,6.6%,5637.26,22.7%,10448.65,42.0%,8765.71,35.3%,0
1,Brgy Ezperanza,25788.02,6.9%,1686.28,6.5%,3874.16,15.0%,20227.58,78.4%,0
1,Brgy Poblacion,187500.00,50.0%,30814.49,16.4%,65975.62,35.2%,90709.90,48.4%,5
1,Brgy Binuni,24314.21,6.5%,1239.68,5.1%,11360.89,46.7%,11713.63,48.2%,0
1,Brgy Demologan,28142.75,7.5%,1876.01,6.7%,12844.77,45.6%,13421.97,47.7%,1
1,Brgy Mati,61799.59,16.5%,31020.13,50.2%,18684.43,30.2%,12095.04,19.6%,1
1,Brgy Babalaya,22603.81,6.0%,10535.04,46.6%,2012.02,8.9%,10056.74,44.5%,0
2,Brgy Liangan East,210829.61,56.2%,14893.17,7.1%,14697.15,7.0%,181239.28,86.0%,1
2,Brgy Ezperanza,148335.42,39.6%,15359.69,10.4%,9372.93,6.3%,123602.80,83.3%,0
2,Brgy Poblacion,1732.45,0.5%,627.14,36.2%,78.01,4.5%,1027.30,59.3%,0
2,Brgy Binuni,2336.10,0.6%,333.84,14.3%,1058.03,45.3%,944.23,40.4%,0
2,Brgy Demologan,2848.83,0.8%,266.60,9.4%,2197.89,77.2%,384.33,13.5%,0
2,Brgy Mati,3814.18,1.0%,228.05,6.0%,1300.43,34.1%,2285.70,59.9%,0
2,Brgy Babalaya,5103.40,1.4%,1477.68,29.0%,2559.16,50.1%,1066.56,20.9%,0
3,Brgy Liangan East,4622.53,1.2%,352.33,7.6%,405.79,8.8%,3864.40,83.6%,0
3,Brgy Ezperanza,330868.47,88.2%,31379.70,9.5%,22146.02,6.7%,277342.75,83.8%,1
3,Brgy Poblacion,3865.56,1.0%,1657.99,42.9%,183.24,4.7%,2024.33,52.4%,0
3,Brgy Binuni,5016.03,1.3%,719.97,14.4%,2392.61,47.7%,1903.44,37.9%,0
3,Brgy Demologan,6987.84,1.9%,510.58,7.3%,5670.78,81.2%,806.48,11.5%,0
3,Brgy Mati,9694.33,2.6%,564.21,5.8%,3832.00,39.5%,5298.13,54.7%,0
3,Brgy Babalaya,13945.25,3.7%,3599.96,25.8%,6535.04,46.9%,3810.24,27.3%,0
4,Brgy Liangan East,36596.47,9.8%,2836.77,7.8%,3471.02,9.5%,30288.68,82.8%,0
4,Brgy Ezperanza,23644.49,6.3%,2484.55,10.5%,1545.30,6.5%,19614.64,83.0%,0
4,Brgy Poblacion,29439.66,7.9%,13009.74,44.2%,1532.49,5.2%,14897.43,50.6%,0
4,Brgy Binuni,38115.27,10.2%,5715.97,15.0%,18545.31,48.7%,13853.99,36.3%,1
4,Brgy Demologan,62188.88,16.6%,3598.10,5.8%,52176.73,83.9%,6414.06,10.3%,4
4,Brgy Mati,78108.72,20.8%,4277.47,5.5%,33637.10,43.1%,40194.14,51.5%,2
4,Brgy Babalaya,106906.48,28.5%,26470.46,24.8%,52727.96,49.3%,27708.07,25.9%,4
5,Brgy Liangan East,37729.57,10.1%,2803.74,7.4%,3209.72,8.5%,31716.11,84.1%,0
5,Brgy Ezperanza,23459.24,6.3%,2672.46,11.4%,1509.73,6.4%,19277.05,82.2%,0
5,Brgy Poblacion,29155.16,7.8%,12443.03,42.7%,1584.32,5.4%,15127.81,51.9%,0
5,Brgy Binuni,39843.94,10.6%,6500.13,16.3%,19129.07,48.0%,14214.74,35.7%,1
5,Brgy Demologan,64688.93,17.3%,3922.77,6.1%,54531.52,84.3%,6234.64,9.6%,4
5,Brgy Mati,79636.28,21.2%,3698.70,4.6%,32996.19,41.4%,42941.38,53.9%,2
5,Brgy Babalaya,100486.87,26.8%,26484.48,26.4%,50047.64,49.8%,23954.74,23.8%,4
6,Brgy Liangan East,98654.95,26.3%,26410.40,26.8%,48592.70,49.3%,23651.85,24.0%,4
6,Brgy Ezperanza,23246.43,6.2%,2685.10,11.6%,1486.19,6.4%,19075.15,82.1%,0
6,Brgy Poblacion,28683.89,7.6%,12172.28,42.4%,1586.57,5.5%,14925.04,52.0%,0
6,Brgy Binuni,40002.01,10.7%,6871.13,17.2%,19124.12,47.8%,14006.77,35.0%,1
6,Brgy Demologan,65290.71,17.4%,3919.12,6.0%,55309.41,84.7%,6062.18,9.3%,4
6,Brgy Mati,81523.00,21.7%,3357.00,4.1%,33656.13,41.3%,44509.87,54.6%,2
6,Brgy Babalaya,37598.99,10.0%,2732.57,7.3%,3141.74,8.4%,31724.67,84.4%,0
7,Brgy Liangan East,37509.71,10.0%,2801.83,7.5%,3055.31,8.1%,31652.56,84.4%,0
7,Brgy Ezperanza,22782.79,6.1%,2845.02,12.5%,1501.80,6.6%,18435.97,80.9%,0
7,Brgy Poblacion,28141.25,7.5%,12006.98,42.7%,1678.35,6.0%,14455.92,51.4%,0
7,Brgy Binuni,41160.45,11.0%,7546.56,18.3%,19436.53,47.2%,14177.36,34.4%,1
7,Brgy Demologan,66842.86,17.8%,4179.36,6.3%,56840.78,85.0%,5822.73,8.7%,4
7,Brgy Mati,83090.93,22.2%,3141.23,3.8%,33506.21,40.3%,46443.50,55.9%,2
7,Brgy Babalaya,95472.00,25.5%,26591.49,27.9%,46583.35,48.8%,22297.16,23.4%,3
8,Brgy Liangan East,37422.62,10.0%,2669.22,7.1%,3146.21,8.4%,31607.19,84.5%,0
8,Brgy Ezperanza,22436.37,6.0%,2714.46,12.1%,1473.83,6.6%,18248.08,81.3%,0
8,Brgy Poblacion,28014.05,7.5%,12180.32,43.5%,1624.32,5.8%,14209.42,50.7%,0
8,Brgy Binuni,39322.38,10.5%,7396.82,18.8%,18857.15,48.0%,13068.42,33.2%,1
8,Brgy Demologan,67384.30,18.0%,3846.61,5.7%,57790.68,85.8%,5747.00,8.5%,4
8,Brgy Mati,84260.02,22.5%,2987.45,3.5%,35612.54,42.3%,45660.03,54.2%,2
8,Brgy Babalaya,96160.28,25.6%,25834.09,26.9%,46616.73,48.5%,23709.45,24.7%,3
9,Brgy Liangan East,37071.12,9.9%,2699.93,7.3%,3128.51,8.4%,31242.68,84.3%,0
9,Brgy Ezperanza,22674.02,6.0%,2804.40,12.4%,1529.58,6.7%,18340.04,80.9%,0
9,Brgy Poblacion,27690.61,7.4%,11928.63,43.1%,1690.62,6.1%,14071.35,50.8%,0
9,Brgy Binuni,40259.91,10.7%,7936.47,19.7%,19141.40,47.5%,13182.04,32.7%,1
9,Brgy Demologan,66355.19,17.7%,4023.79,6.1%,56636.68,85.4%,5694.72,8.6%,4
9,Brgy Mati,86218.03,23.0%,2784.11,3.2%,35507.61,41.2%,47926.31,55.6%,2
9,Brgy Babalaya,94731.12,25.3%,26301.01,27.8%,44799.77,47.3%,23630.35,24.9%,3
10,Brgy Liangan East,37461.35,10.0%,2563.96,6.8%,3032.93,8.1%,31864.45,85.1%,0
10,Brgy Ezperanza,21974.95,5.9%,2773.00,12.6%,1448.28,6.6%,17753.67,80.8%,0
10,Brgy Poblacion,27276.57,7.3%,11817.25,43.3%,1646.37,6.0%,13812.94,50.6%,0
10,Brgy Binuni,39553.11,10.5%,8227.25,20.8%,18781.57,47.5%,12544.30,31.7%,1
10,Brgy Demologan,92327.62,24.6%,25450.14,27.6%,43937.81,47.6%,22939.67,24.8%,3
10,Brgy Mati,87593.84,23.4%,2515.59,2.9%,36794.48,42.0%,48283.77,55.1%,3
10,Brgy Babalaya,68812.58,18.4%,3880.81,5.6%,59476.46,86.4%,5455.31,7.9%,4
11,Brgy Liangan East,38234.91,10.2%,2453.00,6.4%,2985.07,7.8%,32796.84,85.8%,0
11,Brgy Ezperanza,22016.18,5.9%,2773.13,12.6%,1425.78,6.5%,17817.28,80.9%,0
11,Brgy Poblacion,27301.31,7.3%,11602.26,42.5%,1619.34,5.9%,14079.71,51.6%,0
11,Brgy Binuni,39192.72,10.5%,8530.41,21.8%,18609.88,47.5%,12052.42,30.8%,1
11,Brgy Demologan,90038.64,24.0%,24825.04,27.6%,42879.95,47.6%,22333.66,24.8%,3
11,Brgy Mati,88742.58,23.7%,2273.69,2.6%,37542.99,42.3%,48925.89,55.1%,3
11,Brgy Babalaya,69473.66,18.5%,3815.28,5.5%,60190.08,86.6%,5468.31,7.9%,5
12,Brgy Liangan East,36891.74,9.8%,2574.96,7.0%,3005.74,8.1%,31311.04,84.9%,0
12,Brgy Ezperanza,21345.97,5.7%,2870.02,13.4%,1480.53,6.9%,16995.42,79.6%,0
12,Brgy Poblacion,26526.70,7.1%,11850.84,44.7%,1738.79,6.6%,12937.07,48.8%,0
12,Brgy Binuni,39850.52,10.6%,9144.80,22.9%,18663.19,46.8%,12042.53,30.2%,1
12,Brgy Demologan,69524.53,18.5%,3995.62,5.7%,60421.41,86.9%,5107.50,7.3%,5
12,Brgy Mati,90239.02,24.1%,25220.79,27.9%,41574.84,46.1%,23443.39,26.0%,3
12,Brgy Babalaya,90621.51,24.2%,2235.32,2.5%,37983.89,41.9%,50402.30,55.6%,3
13,Brgy Liangan East,37082.84,9.9%,2462.78,6.6%,2939.11,7.9%,31680.95,85.4%,0
13,Brgy Ezperanza,21274.73,5.7%,2868.74,13.5%,1449.34,6.8%,16956.65,79.7%,0
13,Brgy Poblacion,26115.50,7.0%,11420.72,43.7%,1707.25,6.5%,12987.52,49.7%,0
13,Brgy Binuni,39875.57,10.6%,9529.00,23.9%,18637.13,46.7%,11709.44,29.4%,1
13,Brgy Demologan,70297.82,18.7%,3931.35,5.6%,61327.47,87.2%,5038.99,7.2%,5
