Quarter,Global_Compliance,Political_Capital,Total_Fines_Collected,Avg_City_Attitude
1,8.93%,1.0000,0,0.331
12,35.83%,0.7158,0,0.676
1,9.22%,1.0000,0,0.332
1,9.22%,1.0000,0,0.334
2,16.56%,0.9297,0,0.733
2,16.56%,0.8777,0,0.743
2,16.73%,0.8981,0,0.713
13,36.23%,0.8509,0,0.667
3,23.89%,0.9043,0,0.703
3,20.64%,0.7695,0,0.699
14,23.99%,0.8827,0,0.674
3,19.77%,0.8446,0,0.700
4,20.61%,0.9701,0,0.678
4,34.73%,0.7928,0,0.686
15,36.57%,0.8814,0,0.668
4,18.97%,0.8481,0,0.681
5,19.49%,0.8440,0,0.679
5,29.96%,0.9107,0,0.696
5,23.84%,0.9008,0,0.673
16,36.60%,0.8458,0,0.668
17,23.87%,0.8872,0,0.668
6,33.59%,0.8619,0,0.691
6,20.01%,0.8773,0,0.680
6,20.01%,0.9065,0,0.684
7,19.87%,0.9304,0,0.673
18,37.22%,0.9161,0,0.663
7,24.22%,0.7677,0,0.666
7,28.84%,0.7233,0,0.687
8,37.17%,0.7982,0,0.663
19,36.30%,0.9274,0,0.666
8,30.16%,0.7132,0,0.691
8,34.49%,0.7391,0,0.679
9,38.36%,0.6581,0,0.692
9,23.77%,0.5432,0,0.672
9,29.16%,0.6605,0,0.689
20,33.91%,0.8800,0,0.692
10,23.77%,0.7400,0,0.693
10,45.95%,0.7103,0,0.686
21,24.02%,0.9276,0,0.676
10,33.86%,0.4764,0,0.685
11,23.55%,0.5966,0,0.677
11,23.89%,0.8976,0,0.676
11,23.35%,0.8224,0,0.676
22,33.32%,0.9215,0,0.681
12,23.40%,0.9772,0,0.672
23,51.89%,0.7674,0,0.668
12,46.69%,0.7128,0,0.684
12,46.94%,0.4612,0,0.691
13,23.92%,0.9487,0,0.668
24,34.29%,0.7107,0,0.691
13,36.57%,0.6577,0,0.676
13,23.42%,0.4204,0,0.675
14,36.35%,0.9197,0,0.673
25,23.87%,0.6884,0,0.675
14,23.89%,0.5875,0,0.682
14,23.52%,0.6237,0,0.671
15,23.62%,0.8990,0,0.668
15,37.17%,0.6659,0,0.665
26,36.42%,0.8061,0,0.665
15,23.92%,0.6461,0,0.672
16,33.42%,0.8044,0,0.693
16,36.33%,0.8511,0,0.665
16,23.55%,0.6598,0,0.672
27,36.37%,0.7816,0,0.663
17,34.09%,0.8723,0,0.690
17,34.16%,0.7878,0,0.691
17,23.55%,0.7914,0,0.670
28,48.33%,0.5796,0,0.687
18,47.14%,0.7523,0,0.685
18,23.60%,0.9197,0,0.679
