Quarter,Tick,Barangay_ID,Barangay_Name,Total_Budget_PHP,LGU_Allocation_PHP,LGU_Share_Percent,Local_Base_PHP,IEC_Alloc_PHP,IEC_Percent,Enf_Alloc_PHP,Enf_Percent,Inc_Alloc_PHP,Inc_Percent,IEC_Intensity_Score,Enf_Intensity_Score,Incentive_Value_Per_Capita,Avg_Attitude,Avg_SocialNorm,Avg_PBC,Avg_Utility,Compliance_Rate,Active_Enforcers,Political_Capital
1,0,BGY_0,Brgy Liangan East,61071.43,53571.43,14.29%,7500.00,750.00,1.2%,55446.43,90.8%,4875.00,8.0%,0.0056,0.1479,8.02,0.333,0.324,0.329,0.000,14.47%,8,1.0000
1,0,BGY_1,Brgy Ezperanza,76071.43,53571.43,14.29%,22500.00,4500.00,5.9%,64821.43,85.2%,6750.00,8.9%,0.0500,0.1729,11.76,0.329,0.324,0.323,0.000,14.63%,9,1.0000
1,0,BGY_2,Brgy Poblacion,103571.43,53571.43,14.29%,50000.00,10000.00,9.7%,83571.43,80.7%,10000.00,9.7%,0.1111,0.2229,6.52,0.263,0.260,0.254,0.000,1.56%,12,1.0000
1,0,BGY_3,Brgy Binuni,85163.93,53571.43,14.29%,31592.50,6318.50,7.4%,66208.43,77.7%,12637.00,14.8%,0.0667,0.1766,24.93,0.321,0.306,0.311,0.000,11.83%,10,1.0000
1,0,BGY_4,Brgy Demologan,58821.43,53571.43,14.29%,5250.00,262.50,0.4%,58033.93,98.7%,525.00,0.9%,0.0000,0.1548,1.13,0.306,0.292,0.293,0.000,9.72%,8,1.0000
1,0,BGY_5,Brgy Mati,73571.43,53571.43,14.29%,20000.00,4000.00,5.4%,59571.43,81.0%,10000.00,13.6%,0.0444,0.1589,60.61,0.309,0.294,0.301,0.000,9.09%,8,1.0000
1,0,BGY_6,Brgy Babalaya,57321.43,53571.43,14.29%,3750.00,187.50,0.3%,56946.43,99.3%,187.50,0.3%,0.0000,0.1519,1.10,0.326,0.312,0.308,0.000,13.45%,9,1.0000
1,0,BGY_0,Brgy Liangan East,61071.43,53571.43,14.29%,7500.00,750.00,1.2%,55446.43,90.8%,4875.00,8.0%,0.0056,0.1479,8.02,0.333,0.324,0.329,0.000,14.47%,8,1.0000
1,0,BGY_1,Brgy Ezperanza,76071.43,53571.43,14.29%,22500.00,4500.00,5.9%,64821.43,85.2%,6750.00,8.9%,0.0500,0.1729,11.76,0.329,0.324,0.323,0.000,14.63%,9,1.0000
1,0,BGY_2,Brgy Poblacion,103571.43,53571.43,14.29%,50000.00,10000.00,9.7%,83571.43,80.7%,10000.00,9.7%,0.1111,0.2229,6.52,0.263,0.260,0.254,0.000,1.56%,12,1.0000
1,0,BGY_3,Brgy Binuni,85163.93,53571.43,14.29%,31592.50,6318.50,7.4%,66208.43,77.7%,12637.00,14.8%,0.0667,0.1766,24.93,0.321,0.306,0.311,0.000,11.83%,10,1.0000
1,0,BGY_4,Brgy Demologan,58821.43,53571.43,14.29%,5250.00,262.50,0.4%,58033.93,98.7%,525.00,0.9%,0.0000,0.1548,1.13,0.306,0.292,0.293,0.000,9.72%,8,1.0000
1,0,BGY_5,Brgy Mati,73571.43,53571.43,14.29%,20000.00,4000.00,5.4%,59571.43,81.0%,10000.00,13.6%,0.0444,0.1589,60.61,0.309,0.294,0.301,0.000,9.09%,8,1.0000
1,0,BGY_6,Brgy Babalaya,57321.43,53571.43,14.29%,3750.00,187.50,0.3%,56946.43,99.3%,187.50,0.3%,0.0000,0.1519,1.10,0.326,0.312,0.308,0.000,13.45%,8,1.0000
