Quarter,Tick,Barangay_ID,Barangay_Name,Total_Budget_PHP,LGU_Allocation_PHP,LGU_Share_Percent,Local_Base_PHP,IEC_Alloc_PHP,IEC_Percent,Enf_Alloc_PHP,Enf_Percent,Inc_Alloc_PHP,Inc_Percent,IEC_Intensity_Score,Enf_Intensity_Score,Incentive_Value_Per_Capita,Avg_Attitude,Avg_SocialNorm,Avg_PBC,Avg_Utility,Compliance_Rate,Active_Enforcers,Political_Capital
1,0,BGY_0,Brgy Liangan East,61071.43,53571.43,14.29%,7500.00,750.00,1.2%,1875.00,3.1%,58446.43,95.7%,0.0056,0.5000,500.00,0.333,0.324,0.329,0.000,14.47%,0,1.0000
1,0,BGY_1,Brgy Ezperanza,76071.43,53571.43,14.29%,22500.00,4500.00,5.9%,11250.00,14.8%,60321.43,79.3%,0.0500,0.5000,500.00,0.329,0.324,0.323,0.000,14.63%,2,1.0000
1,0,BGY_2,Brgy Poblacion,103571.43,53571.43,14.29%,50000.00,10000.00,9.7%,30000.00,29.0%,63571.43,61.4%,0.1111,0.5000,500.00,0.263,0.260,0.254,0.000,1.56%,5,1.0000
1,0,BGY_3,Brgy Binuni,85163.93,53571.43,14.29%,31592.50,6318.50,7.4%,12637.00,14.8%,66208.43,77.7%,0.0667,0.5000,500.00,0.321,0.306,0.311,0.000,11.83%,2,1.0000
1,0,BGY_4,Brgy Demologan,58821.43,53571.43,14.29%,5250.00,262.50,0.4%,4462.50,7.6%,54096.43,92.0%,0.0000,0.5000,500.00,0.306,0.292,0.293,0.000,9.72%,1,1.0000
1,0,BGY_5,Brgy Mati,73571.43,53571.43,14.29%,20000.00,4000.00,5.4%,6000.00,8.2%,63571.43,86.4%,0.0444,0.5000,500.00,0.309,0.294,0.301,0.000,9.09%,1,1.0000
1,0,BGY_6,Brgy Babalaya,57321.43,53571.43,14.29%,3750.00,187.50,0.3%,3375.00,5.9%,53758.93,93.8%,0.0000,0.5000,500.00,0.326,0.312,0.308,0.000,13.45%,1,1.0000
1,0,BGY_0,Brgy Liangan East,61071.43,53571.43,14.29%,7500.00,750.00,1.2%,1875.00,3.1%,58446.43,95.7%,0.0056,0.5000,500.00,0.333,0.324,0.329,0.000,14.47%,0,1.0000
1,0,BGY_1,Brgy Ezperanza,76071.43,53571.43,14.29%,22500.00,4500.00,5.9%,11250.00,14.8%,60321.43,79.3%,0.0500,0.5000,500.00,0.329,0.324,0.323,0.000,14.63%,2,1.0000
1,0,BGY_2,Brgy Poblacion,103571.43,53571.43,14.29%,50000.00,10000.00,9.7%,30000.00,29.0%,63571.43,61.4%,0.1111,0.5000,500.00,0.263,0.260,0.254,0.000,1.56%,4,1.0000
1,0,BGY_3,Brgy Binuni,85163.93,53571.43,14.29%,31592.50,6318.50,7.4%,12637.00,14.8%,66208.43,77.7%,0.0667,0.5000,500.00,0.321,0.306,0.311,0.000,11.83%,2,1.0000
1,0,BGY_4,Brgy Demologan,58821.43,53571.43,14.29%,5250.00,262.50,0.4%,4462.50,7.6%,54096.43,92.0%,0.0000,0.5000,500.00,0.306,0.292,0.293,0.000,9.72%,1,1.0000
1,0,BGY_5,Brgy Mati,73571.43,53571.43,14.29%,20000.00,4000.00,5.4%,6000.00,8.2%,63571.43,86.4%,0.0444,0.5000,500.00,0.309,0.294,0.301,0.000,9.09%,0,1.0000
1,0,BGY_6,Brgy Babalaya,57321.43,53571.43,14.29%,3750.00,187.50,0.3%,3375.00,5.9%,53758.93,93.8%,0.0000,0.5000,500.00,0.326,0.312,0.308,0.000,13.45%,0,1.0000
