Quarter,Tick,Barangay_ID,Barangay_Name,Total_Budget_PHP,LGU_Allocation_PHP,LGU_Share_Percent,Local_Base_PHP,IEC_Alloc_PHP,IEC_Percent,Enf_Alloc_PHP,Enf_Percent,Inc_Alloc_PHP,Inc_Percent,IEC_Intensity_Score,Enf_Intensity_Score,Incentive_Value_Per_Capita,Avg_Attitude,Avg_SocialNorm,Avg_PBC,Avg_Utility,Compliance_Rate,Active_Enforcers,Political_Capital
1,0,BGY_0,Brgy Liangan East,61071.43,53571.43,14.29%,7500.00,54321.43,88.9%,1875.00,3.1%,4875.00,8.0%,0.6667,0.5000,500.00,0.333,0.324,0.329,0.000,14.47%,0,1.0000
1,0,BGY_1,Brgy Ezperanza,76071.43,53571.43,14.29%,22500.00,58071.43,76.3%,11250.00,14.8%,6750.00,8.9%,0.8333,0.5000,500.00,0.329,0.324,0.323,0.000,14.63%,0,1.0000
1,0,BGY_2,Brgy Poblacion,103571.43,53571.43,14.29%,50000.00,63571.43,61.4%,30000.00,29.0%,10000.00,9.7%,1.0000,0.5000,500.00,0.263,0.260,0.254,0.000,1.56%,1,1.0000
1,0,BGY_3,Brgy Binuni,85163.93,53571.43,14.29%,31592.50,59889.93,70.3%,12637.00,14.8%,12637.00,14.8%,0.8333,0.5000,500.00,0.321,0.306,0.311,0.000,11.83%,0,1.0000
1,0,BGY_4,Brgy Demologan,58821.43,53571.43,14.29%,5250.00,53833.93,91.5%,4462.50,7.6%,525.00,0.9%,0.6667,0.5000,500.00,0.306,0.292,0.293,0.000,9.72%,0,1.0000
1,0,BGY_5,Brgy Mati,73571.43,53571.43,14.29%,20000.00,57571.43,78.3%,6000.00,8.2%,10000.00,13.6%,0.8333,0.5000,500.00,0.309,0.294,0.301,0.000,9.09%,0,1.0000
1,0,BGY_6,Brgy Babalaya,57321.43,53571.43,14.29%,3750.00,53758.93,93.8%,3375.00,5.9%,187.50,0.3%,0.6667,0.5000,500.00,0.326,0.312,0.308,0.000,13.45%,0,1.0000
1,0,BGY_0,Brgy Liangan East,61071.43,53571.43,14.29%,7500.00,54321.43,88.9%,1875.00,3.1%,4875.00,8.0%,0.6667,0.5000,500.00,0.333,0.324,0.329,0.000,14.47%,0,1.0000
1,0,BGY_1,Brgy Ezperanza,76071.43,53571.43,14.29%,22500.00,58071.43,76.3%,11250.00,14.8%,6750.00,8.9%,0.8333,0.5000,500.00,0.329,0.324,0.323,0.000,14.63%,0,1.0000
1,0,BGY_2,Brgy Poblacion,103571.43,53571.43,14.29%,50000.00,63571.43,61.4%,30000.00,29.0%,10000.00,9.7%,1.0000,0.5000,500.00,0.263,0.260,0.254,0.000,1.56%,1,1.0000
